"Shopify Domain","Job ID","Sheet","Started At","Finished At","Duration","Seconds per Item","Exported","Column Groups","Columns","Filters"
"superfeetww.myshopify.com","546650092","Products","2025-10-16 18:48:46 -0400","2025-10-16 18:49:35 -0400","00:00:48","0.831","57","Base, Category, Collections, Images, Variants, Variant Cost, Customs Information, Inventory Levels, Pricing By Markets, Metafields, Variant Metafields","ID, Handle, Command, Title, Body HTML, Vendor, Type, Tags, Tags Command, Created At, Updated At, Status, Published, Published At, Published Scope, Template Suffix, Gift Card, URL, Total Inventory Qty, Row #, Top Row, Category: ID, Category: Name, Category, Custom Collections, Smart Collections, Image Type, Image Src, Image Command, Image Position, Image Width, Image Height, Image Alt Text, Variant Inventory Item ID, Variant ID, Variant Command, Option1 Name, Option1 Value, Option2 Name, Option2 Value, Option3 Name, Option3 Value, Variant Position, Variant SKU, Variant Barcode, Variant Image, Variant Weight, Variant Weight Unit, Variant Price, Variant Compare At Price, Variant Taxable, Variant Tax Code, Variant Inventory Tracker, Variant Inventory Policy, Variant Fulfillment Service, Variant Requires Shipping, Variant Inventory Qty, Variant Inventory Adjust, Variant Cost, Variant HS Code, Variant Country of Origin, Variant Province of Origin, Inventory Available: ..., Inventory Available Adjust: ..., Inventory On Hand: ..., Inventory On Hand Adjust: ..., Inventory Committed: ..., Inventory Reserved: ..., Inventory Damaged: ..., Inventory Damaged Adjust: ..., Inventory Safety Stock: ..., Inventory Safety Stock Adjust: ..., Inventory Quality Control: ..., Inventory Quality Control Adjust: ..., Inventory Incoming: ..., Included / ..., Price / ..., Compare At Price / ..., Metafield: ..., Variant Metafield: ...",""
"superfeetww.myshopify.com","546650092","Smart Collections","2025-10-16 18:49:35 -0400","2025-10-16 18:49:39 -0400","00:00:04","0.204","18","Base, Rules, Linked Products, Products Count, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Must Match, Rule: Product Column, Rule: Relation, Rule: Condition, Product: ID, Product: Handle, Product: Position, Products Count, Metafield: ...",""
"superfeetww.myshopify.com","546650092","Custom Collections","2025-10-16 18:49:39 -0400","2025-10-16 18:49:44 -0400","00:00:05","0.21","20","Base, Linked Products, Products Count, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Product: ID, Product: Handle, Product: Position, Product: Command, Products Count, Metafield: ...",""
"superfeetww.myshopify.com","546650092","Discounts","2025-10-16 18:49:44 -0400","2025-10-16 18:54:53 -0400","00:05:08","0.353","872","Base, Type Specific, Eligibility, Purchase Type, Combinations","ID, Title, Command, Code, Code Command, Code Used Count, Total Used Count, Type, Method, Value Type, Value, Minimum Requirement, Minimum Value, Limit Total Times, Limit One Use Per Customer, Limit Uses Per Order, Status, Starts At, Ends At, Created At, Updated At, Summary, Row #, Top Row, Applies To: Type, Applies To: Values, Buy X Get Y: Customer Buys Type, Buy X Get Y: Customer Buys Values, Buy X Get Y: Customer Gets Quantity, Free Shipping: Country Codes, Free Shipping: Over Amount, Eligibility: Customer Type, Eligibility: Customer Values, Purchase Type, Purchase Type: Recurring Subscription Limit, Combines with Product Discounts, Combines with Order Discounts, Combines with Shipping Discounts",""
"superfeetww.myshopify.com","546650092","Pages","2025-10-16 18:54:53 -0400","2025-10-16 18:54:58 -0400","00:00:05","0.063","63","Base, Metafields","ID, Handle, Command, Title, Body HTML, Created At, Updated At, Published, Published At, Template Suffix, Metafield: ...",""
"superfeetww.myshopify.com","546650092","Blog Posts","2025-10-16 18:54:58 -0400","2025-10-16 18:55:13 -0400","00:00:15","0.099","150","Base, Blogs, Comments, Metafields","ID, Handle, Command, Title, Author, Body HTML, Summary HTML, Tags, Tags Command, Created At, Updated At, Published, Published At, Template Suffix, Image Src, Image Width, Image Height, Image Alt Text, Blog: ID, Blog: Handle, Blog: Title, Blog: Commentable, Blog: Feedburner URL, Blog: Feedburner Path, Blog: Template Suffix, Blog: Created At, Blog: Updated At, Row #, Top Row, Comment: ID, Comment: Author, Comment: Body, Comment: Body HTML, Comment: Email, Comment: Status, Comment: IP, Comment: Browser, Comment: Created At, Comment: Updated At, Comment: Published At, Comment: Command, Metafield: ...",""
"superfeetww.myshopify.com","546650092","Redirects","2025-10-16 18:55:13 -0400","2025-10-16 18:55:19 -0400","00:00:06","0.001","4400","Base","ID, Path, Command, Target",""
"superfeetww.myshopify.com","546650092","Files","2025-10-16 18:55:19 -0400","2025-10-16 18:55:30 -0400","00:00:11","0.005","1845","Base, Size Mb","ID, File Name, Command, Link, Alt Text, Created At, Type, Mime Type, Width, Height, Duration, Status, Errors, Size Bytes, Size MB, Size",""
"superfeetww.myshopify.com","546650092","Metaobjects","2025-10-16 18:55:30 -0400","2025-10-16 18:55:45 -0400","00:00:15","0.055","259","Base, Field Values","ID, Handle, Command, Display Name, Status, Updated At, Definition: Handle, Definition: Name, Top Row, Row #, Field, Value",""
"superfeetww.myshopify.com","546650092","Menus","2025-10-16 18:55:45 -0400","2025-10-16 18:55:50 -0400","00:00:05","0.26","15","Base, Menu Items","ID, Handle, Command, Title, Is Default, Top Row, Row #, Menu Item: ID, Menu Item: Title, Menu Item: Command, Menu Item: Resource Type, Menu Item: Resource ID, Menu Item: Resource Handle, Menu Item: Collection Tags, Menu Item: URL, Menu Item: Parent ID, Menu Item: Parent Title, Menu Item: Position",""
