"ID","File Name","Command","Link","Alt Text","Created At","Type","Mime Type","Width","Height","Duration","Status","Errors","Size Bytes","Size MB","Size"
"gid://shopify/MediaImage/29225835888823","black-and-white-running-shoe.jpg","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/black-and-white-running-shoe.jpg?v=1719519542","","2024-06-27 16:19:02 -0400","IMAGE","image/jpeg","3840","2560","","Ready","","3273482","3.274","3.27 MB"
"gid://shopify/MediaImage/29225853452471","Screenshot_2024-06-27_at_4.24.31_PM.png","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/Screenshot_2024-06-27_at_4.24.31_PM.png?v=1719519898","","2024-06-27 16:24:57 -0400","IMAGE","image/png","282","66","","Ready","","8335","0.009","8.34 KB"
"gid://shopify/MediaImage/29225842278583","shoe-sticker-with-laces.jpg","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/shoe-sticker-with-laces.jpg?v=1719519628","","2024-06-27 16:20:28 -0400","IMAGE","image/jpeg","4096","2731","","Ready","","5991966","5.992","5.99 MB"
"gid://shopify/MediaImage/29225853518007","Screenshot_2024-06-27_at_4.24.02_PM.png","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/Screenshot_2024-06-27_at_4.24.02_PM.png?v=1719519898","","2024-06-27 16:24:57 -0400","IMAGE","image/png","324","116","","Ready","","10762","0.011","10.76 KB"
"gid://shopify/MediaImage/29225853485239","Screenshot_2024-06-27_at_4.24.11_PM.png","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/Screenshot_2024-06-27_at_4.24.11_PM.png?v=1719519898","","2024-06-27 16:24:57 -0400","IMAGE","image/png","302","60","","Ready","","10333","0.011","10.33 KB"
"gid://shopify/MediaImage/29225790636215","woman-athlete-tying-shoes.jpg","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/woman-athlete-tying-shoes.jpg?v=1719518581","","2024-06-27 16:03:01 -0400","IMAGE","image/jpeg","4096","2731","","Ready","","7515681","7.516","7.52 MB"
"gid://shopify/MediaImage/29225853583543","Screenshot_2024-06-27_at_4.24.17_PM.png","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/Screenshot_2024-06-27_at_4.24.17_PM.png?v=1719519898","","2024-06-27 16:24:57 -0400","IMAGE","image/png","326","98","","Ready","","10878","0.011","10.88 KB"
"gid://shopify/MediaImage/29448578760887","SS24_P_W_10020808_Sloane_TanLeatherSuede_0480_1.png","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/SS24_P_W_10020808_Sloane_TanLeatherSuede_0480_1.png?v=1720470201","","2024-07-08 16:23:20 -0400","IMAGE","image/png","670","251","","Ready","","257724","0.258","257.72 KB"
"gid://shopify/MediaImage/29503805817015","superfeet-rx-logo.png","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/superfeet-rx-logo.png?v=1720725780","","2024-07-11 15:22:59 -0400","IMAGE","image/png","751","118","","Ready","","12829","0.013","12.83 KB"
"gid://shopify/MediaImage/29503813320887","superfeet-rx-logo-footer.png","MERGE","https://cdn.shopify.com/s/files/1/0638/5346/1687/files/superfeet-rx-logo-footer.png?v=1720726127","","2024-07-11 15:28:46 -0400","IMAGE","image/png","300","64","","Ready","","5887","0.006","5.89 KB"
